   W         E0+(pi0_p)
 1480.0    1.298177   6.922141
 1485.0    1.345145   7.521346
 1490.0    0.627647   8.031053
 1495.0    0.102171   8.215083
 1500.0   -0.398174   8.308586
 1505.0   -0.882605   8.320822
 1510.0   -1.343685   8.259071
 1515.0   -1.772001   8.132667
 1520.0   -2.160131   7.953047
 1525.0   -2.504045   7.732126
 1530.0   -2.802796   7.480919
 1535.0   -3.057813   7.208658
 1540.0   -3.271932   6.922393
 1545.0   -3.448330   6.627042
 1550.0   -3.590047   6.325766
 1555.0   -3.699118   6.020565
 1560.0   -3.776506   5.712831
 1565.0   -3.822219   5.404065
 1570.0   -3.835395   5.096309
 1575.0   -3.814853   4.792701
 1580.0   -3.759641   4.497610
 1585.0   -3.669697   4.216518
 1590.0   -3.546498   3.955751
 1595.0   -3.393523   3.721790
 1600.0   -3.216536   3.520398
 1605.0   -3.024393   3.355355
 1610.0   -2.821877   3.210583
 1615.0   -2.573037   3.093799
 1620.0   -2.374572   3.079405
 1625.0   -2.175244   3.078582
 1630.0   -1.998780   3.112221
 1635.0   -1.850931   3.174648
 1640.0   -1.736790   3.259002
 1645.0   -1.660215   3.357113
 1650.0   -1.623565   3.460311
 1655.0   -1.625516   3.556534
 1660.0   -1.663449   3.637453
 1665.0   -1.730971   3.693975
 1670.0   -1.819413   3.719481
 1675.0   -1.919312   3.710221
 1680.0   -2.023152   3.663447
 1685.0   -2.094499   3.550303
 1690.0   -2.104839   3.472626
 1695.0   -2.140876   3.393634
 1700.0   -2.161735   3.318824
 1705.0   -2.179677   3.242748
 1710.0   -2.194484   3.165077
 1715.0   -2.206035   3.085825
 1720.0   -2.214315   3.005204
 1725.0   -2.219323   2.923486
 1730.0   -2.221049   2.840908
 1735.0   -2.219523   2.757732
 1740.0   -2.214796   2.674216
 1745.0   -2.206891   2.590600
 1750.0   -2.195840   2.507121
 1755.0   -2.181708   2.423992
 1760.0   -2.164497   2.341463
 1765.0   -2.144312   2.259757
 1770.0   -2.121156   2.179076
 1775.0   -2.095144   2.099660
 1780.0   -2.066377   2.021727
 1785.0   -2.034983   1.945494
 1790.0   -2.001110   1.871172
 1795.0   -1.964939   1.798952
 1800.0   -1.926682   1.729013
 1805.0   -1.886555   1.661498
 1810.0   -1.844855   1.596526
 1815.0   -1.801843   1.534175
 1820.0   -1.757782   1.474471
 1825.0   -1.712981   1.417408
 1830.0   -1.667720   1.362921
 1835.0   -1.622264   1.310898
 1840.0   -1.576861   1.261150
 1845.0   -1.531678   1.213541
 1850.0   -1.486887   1.167783
 1855.0   -1.442568   1.123614
 1860.0   -1.398725   1.080771
 1865.0   -1.355309   1.038980
 1870.0   -1.312186   0.998010
 1875.0   -1.269125   0.957679
 1880.0   -1.225868   0.917874
 1885.0   -1.182096   0.878586
 1890.0   -1.137499   0.839921
 1895.0   -1.091786   0.802101
 1900.0   -1.044743   0.765465
 1905.0   -0.996271   0.730435
 1910.0   -0.946416   0.697482
 1915.0   -0.895377   0.667067
 1920.0   -0.843508   0.639586
 1925.0   -0.791280   0.615324
 1930.0   -0.739226   0.594414
 1935.0   -0.687906   0.576839
 1940.0   -0.637839   0.562428
 1945.0   -0.589462   0.550902
 1950.0   -0.543092   0.541896
 1955.0   -0.498985   0.534999
 1960.0   -0.457244   0.529799
 1965.0   -0.417902   0.525904
 1970.0   -0.380908   0.522958
 1975.0   -0.346161   0.520654
 1980.0   -0.313523   0.518737
 1985.0   -0.282835   0.516999
 1990.0   -0.253930   0.515283
 1995.0   -0.226635   0.513470
 2000.0   -0.200811   0.511463
 2005.0   -0.176383   0.509211
