   W         M3+(pi0_p)
 1555.0    0.174339   0.010771
 1560.0    0.180301   0.011933
 1565.0    0.186413   0.013181
 1570.0    0.192677   0.014520
 1575.0    0.199097   0.015957
 1580.0    0.205675   0.017497
 1585.0    0.212415   0.019148
 1590.0    0.219320   0.020918
 1595.0    0.226391   0.022814
 1600.0    0.233633   0.024845
 1605.0    0.241053   0.027024
 1610.0    0.248644   0.029354
 1615.0    0.256417   0.031851
 1620.0    0.264372   0.034525
 1625.0    0.272512   0.037389
 1630.0    0.280840   0.040456
 1635.0    0.289358   0.043740
 1640.0    0.298068   0.047258
 1645.0    0.306973   0.051025
 1650.0    0.316072   0.055060
 1655.0    0.325368   0.059379
 1660.0    0.334860   0.064007
 1665.0    0.344547   0.068964
 1670.0    0.354428   0.074273
 1675.0    0.364501   0.079959
 1680.0    0.374761   0.086048
 1685.0    0.385204   0.092569
 1690.0    0.395823   0.099550
 1695.0    0.406610   0.107022
 1700.0    0.417552   0.115020
 1705.0    0.428638   0.123576
 1710.0    0.439851   0.132728
 1715.0    0.451172   0.142513
 1720.0    0.462579   0.152970
 1725.0    0.474044   0.164141
 1730.0    0.485538   0.176067
 1735.0    0.497023   0.188794
 1740.0    0.508458   0.202366
 1745.0    0.519794   0.216830
 1750.0    0.530976   0.232231
 1755.0    0.541950   0.248617
 1760.0    0.552627   0.266032
 1765.0    0.562938   0.284518
 1770.0    0.572790   0.304117
 1775.0    0.582081   0.324865
 1780.0    0.590700   0.346789
 1785.0    0.598521   0.369913
 1790.0    0.605409   0.394245
 1795.0    0.611217   0.419785
 1800.0    0.615787   0.446515
 1805.0    0.618951   0.474400
 1810.0    0.620533   0.503379
 1815.0    0.620353   0.533372
 1820.0    0.618226   0.564270
 1825.0    0.613972   0.595932
 1830.0    0.607415   0.628186
 1835.0    0.598393   0.660828
 1840.0    0.586770   0.693619
 1845.0    0.572423   0.726289
 1850.0    0.555274   0.758536
 1855.0    0.535281   0.790040
 1860.0    0.512451   0.820457
 1865.0    0.486842   0.849439
 1870.0    0.458572   0.876630
 1875.0    0.427810   0.901699
 1880.0    0.394785   0.924327
 1885.0    0.359775   0.944234
 1890.0    0.323106   0.961183
 1895.0    0.285137   0.974990
 1900.0    0.246251   0.985531
 1905.0    0.206843   0.992746
 1910.0    0.167312   0.996634
 1915.0    0.128041   0.997259
 1920.0    0.089389   0.994737
 1925.0    0.051688   0.989236
 1930.0    0.015223   0.980962
 1935.0   -0.019756   0.970152
 1940.0   -0.053053   0.957064
 1945.0   -0.084510   0.941969
 1950.0   -0.114022   0.925139
 1955.0   -0.141521   0.906845
 1960.0   -0.166977   0.887345
 1965.0   -0.190392   0.866887
 1970.0   -0.211798   0.845697
 1975.0   -0.231251   0.823982
 1980.0   -0.248821   0.801929
 1985.0   -0.264596   0.779703
 1990.0   -0.278672   0.757447
 1995.0   -0.291154   0.735283
 2000.0   -0.302131   0.713310
 2005.0   -0.311713   0.691599
