   W         M2-(pi0_p)
 1895.0   -0.270284   0.599890
 1900.0   -0.270639   0.605256
 1905.0   -0.271479   0.610508
 1910.0   -0.272781   0.615620
 1915.0   -0.274521   0.620585
 1920.0   -0.276677   0.625387
 1925.0   -0.279230   0.630013
 1930.0   -0.282160   0.634456
 1935.0   -0.285449   0.638703
 1940.0   -0.289082   0.642750
 1945.0   -0.293044   0.646583
 1950.0   -0.297318   0.650198
 1955.0   -0.301893   0.653586
 1960.0   -0.306754   0.656739
 1965.0   -0.311889   0.659646
 1970.0   -0.317282   0.662303
 1975.0   -0.322926   0.664706
 1980.0   -0.328848   0.666920
 1985.0   -0.334889   0.668675
 1990.0   -0.341186   0.670238
 1995.0   -0.347675   0.671507
 2000.0   -0.354323   0.672470
 2005.0   -0.361127   0.673143
