 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Oct2014
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.04*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.   
 #--------------------------------------------------------------------------
  1447.29  1444.04  1450.56  1.89638   0.567   55.48  0.5385  0.0068  0.0096
  1447.29  1444.04  1450.56  1.89638   0.633   50.70  0.7051  0.0090  0.0126
  1447.29  1444.04  1450.56  1.89638   0.700   45.57  1.1038  0.0142  0.0198
  1447.29  1444.04  1450.56  1.89638   0.767   39.94  1.5842  0.0240  0.0311
  1447.29  1444.04  1450.56  1.89638   0.833   33.56  1.9578  0.0608  0.0655
  1453.79  1450.56  1457.04  1.89959  -0.833  146.44  1.2853  0.0567  0.0589
  1453.79  1450.56  1457.04  1.89959  -0.767  140.06  1.2113  0.0306  0.0341
  1453.79  1450.56  1457.04  1.89959  -0.700  134.43  0.9206  0.0162  0.0199
  1453.79  1450.56  1457.04  1.89959  -0.633  129.30  0.7354  0.0102  0.0137
  1453.79  1450.56  1457.04  1.89959  -0.567  124.52  0.6232  0.0079  0.0111
  1453.79  1450.56  1457.04  1.89959  -0.500  120.00  0.6147  0.0073  0.0106
  1453.79  1450.56  1457.04  1.89959  -0.433  115.68  0.6145  0.0069  0.0103
  1453.79  1450.56  1457.04  1.89959  -0.367  111.51  0.6355  0.0067  0.0104
  1453.79  1450.56  1457.04  1.89959  -0.300  107.46  0.6832  0.0068  0.0109
  1453.79  1450.56  1457.04  1.89959  -0.233  103.49  0.7831  0.0073  0.0122
  1453.79  1450.56  1457.04  1.89959  -0.167   99.59  0.8409  0.0076  0.0130
  1453.79  1450.56  1457.04  1.89959  -0.100   95.74  0.9158  0.0081  0.0140
  1453.79  1450.56  1457.04  1.89959  -0.033   91.91  0.9410  0.0085  0.0145
  1453.79  1450.56  1457.04  1.89959   0.033   88.09  0.9520  0.0086  0.0147
  1453.79  1450.56  1457.04  1.89959   0.100   84.26  0.8855  0.0082  0.0138
  1453.79  1450.56  1457.04  1.89959   0.167   80.41  0.8316  0.0080  0.0131
  1453.79  1450.56  1457.04  1.89959   0.233   76.51  0.7033  0.0073  0.0114
  1453.79  1450.56  1457.04  1.89959   0.300   72.54  0.5757  0.0064  0.0096
  1453.79  1450.56  1457.04  1.89959   0.367   68.49  0.4594  0.0057  0.0081
  1453.79  1450.56  1457.04  1.89959   0.433   64.32  0.4010  0.0054  0.0074
  1453.79  1450.56  1457.04  1.89959   0.500   60.00  0.4502  0.0061  0.0083
  1453.79  1450.56  1457.04  1.89959   0.567   55.48  0.5307  0.0068  0.0095
  1453.79  1450.56  1457.04  1.89959   0.633   50.70  0.7519  0.0102  0.0139
  1453.79  1450.56  1457.04  1.89959   0.700   45.57  1.1564  0.0161  0.0216
  1453.79  1450.56  1457.04  1.89959   0.767   39.94  1.6362  0.0267  0.0336
  1453.79  1450.56  1457.04  1.89959   0.833   33.56  2.0523  0.0675  0.0722
  1460.28  1457.04  1463.51  1.90280  -0.833  146.44  1.2135  0.0515  0.0537
  1460.28  1457.04  1463.51  1.90280  -0.767  140.06  1.2110  0.0289  0.0326
  1460.28  1457.04  1463.51  1.90280  -0.700  134.43  0.9228  0.0156  0.0194
  1460.28  1457.04  1463.51  1.90280  -0.633  129.30  0.7284  0.0098  0.0134
  1460.28  1457.04  1463.51  1.90280  -0.567  124.52  0.6434  0.0078  0.0112
  1460.28  1457.04  1463.51  1.90280  -0.500  120.00  0.6139  0.0070  0.0104
  1460.28  1457.04  1463.51  1.90280  -0.433  115.68  0.6013  0.0066  0.0100
  1460.28  1457.04  1463.51  1.90280  -0.367  111.51  0.6427  0.0064  0.0103
  1460.28  1457.04  1463.51  1.90280  -0.300  107.46  0.6858  0.0066  0.0108
  1460.28  1457.04  1463.51  1.90280  -0.233  103.49  0.7828  0.0069  0.0120
  1460.28  1457.04  1463.51  1.90280  -0.167   99.59  0.8402  0.0071  0.0127
  1460.28  1457.04  1463.51  1.90280  -0.100   95.74  0.9211  0.0078  0.0139
  1460.28  1457.04  1463.51  1.90280  -0.033   91.91  0.9377  0.0078  0.0141
  1460.28  1457.04  1463.51  1.90280   0.033   88.09  0.9336  0.0081  0.0142
  1460.28  1457.04  1463.51  1.90280   0.100   84.26  0.8838  0.0078  0.0135
  1460.28  1457.04  1463.51  1.90280   0.167   80.41  0.8065  0.0074  0.0125
