 #---------------------------------------------------------------------------
 #   gamma p --> pi0 p                     Apr2013
 #
 #        Q - polar angle of pi0 meson in CMS
 #        err2 = sqrt(stat**2 + (0.02*ds/dOmega)**2)
 #---------------------------------------------------------------------------
 # Eg[MeV]  Eg_min   Eg_max   W[GeV]  cos(Q)    Q    ds/dOmega  stat.  err2
 #                                            [deg]   [µb/sr]   err.
 #--------------------------------------------------------------------------
   231.29   229.13   233.44  1.14646  -0.833  146.44  4.2690  0.0232  0.0885
   231.29   229.13   233.44  1.14646  -0.767  140.06  4.5492  0.0234  0.0939
   231.29   229.13   233.44  1.14646  -0.700  134.43  4.7808  0.0236  0.0985
   231.29   229.13   233.44  1.14646  -0.633  129.30  5.0240  0.0240  0.1033
   231.29   229.13   233.44  1.14646  -0.567  124.52  5.2591  0.0243  0.1080
   231.29   229.13   233.44  1.14646  -0.500  120.00  5.3595  0.0242  0.1099
   231.29   229.13   233.44  1.14646  -0.433  115.68  5.4595  0.0243  0.1119
   231.29   229.13   233.44  1.14646  -0.367  111.51  5.5486  0.0243  0.1136
   231.29   229.13   233.44  1.14646  -0.300  107.46  5.6552  0.0243  0.1157
   231.29   229.13   233.44  1.14646  -0.233  103.49  5.7047  0.0242  0.1166
   231.29   229.13   233.44  1.14646  -0.167   99.59  5.6516  0.0238  0.1155
   231.29   229.13   233.44  1.14646  -0.100   95.74  5.7592  0.0240  0.1177
   231.29   229.13   233.44  1.14646  -0.033   91.91  5.7258  0.0238  0.1170
   231.29   229.13   233.44  1.14646   0.033   88.09  5.6662  0.0236  0.1158
   231.29   229.13   233.44  1.14646   0.100   84.26  5.6018  0.0234  0.1145
   231.29   229.13   233.44  1.14646   0.167   80.41  5.5205  0.0232  0.1128
   231.29   229.13   233.44  1.14646   0.233   76.51  5.4478  0.0231  0.1114
   231.29   229.13   233.44  1.14646   0.300   72.54  5.2691  0.0228  0.1078
   231.29   229.13   233.44  1.14646   0.367   68.49  5.0856  0.0226  0.1042
   231.29   229.13   233.44  1.14646   0.433   64.32  4.9104  0.0225  0.1008
   231.29   229.13   233.44  1.14646   0.500   60.00  4.6549  0.0223  0.0957
   231.29   229.13   233.44  1.14646   0.567   55.48  4.4298  0.0224  0.0914
   231.29   229.13   233.44  1.14646   0.633   50.70  4.1403  0.0224  0.0858
   231.29   229.13   233.44  1.14646   0.700   45.57  3.8152  0.0226  0.0796
   231.29   229.13   233.44  1.14646   0.767   39.94  3.4739  0.0232  0.0732
   231.29   229.13   233.44  1.14646   0.833   33.56  3.1030  0.0243  0.0666
   231.29   229.13   233.44  1.14646   0.900   25.84  2.6871  0.0263  0.0598
   231.29   229.13   233.44  1.14646   0.967   14.84  2.2786  0.0313  0.0553
   235.60   233.44   237.75  1.14999  -0.967  165.16  4.0495  0.0259  0.0850
   235.60   233.44   237.75  1.14999  -0.900  154.16  4.4320  0.0259  0.0923
   235.60   233.44   237.75  1.14999  -0.833  146.44  4.8014  0.0261  0.0995
   235.60   233.44   237.75  1.14999  -0.767  140.06  5.1466  0.0264  0.1063
   235.60   233.44   237.75  1.14999  -0.700  134.43  5.3638  0.0265  0.1105
   235.60   233.44   237.75  1.14999  -0.633  129.30  5.6182  0.0269  0.1155
   235.60   233.44   237.75  1.14999  -0.567  124.52  5.9013  0.0274  0.1212
   235.60   233.44   237.75  1.14999  -0.500  120.00  6.0444  0.0273  0.1239
   235.60   233.44   237.75  1.14999  -0.433  115.68  6.1786  0.0274  0.1266
