   W             E0+(p)                 E1+(p)                 M1+(p)                 M1-(p)                 E2+(p)                 E2-(p)                 M2+(p)                 M2-(p)                 E3+(p)                 E3-(p)                 M3+(p)                 M3-(p)                 E4+(p)                 E4-(p)                 M4+(p)                 M4-(p)                 E5+(p)                 E5-(p)                 M5+(p)                 M5-(p)                 E6+(p)                 E6-(p)                 M6+(p)                 M6-(p)                 E7+(p)                 E7-(p)                 M7+(p)                 M7-(p)                 E8+(p)                 E8-(p)                 M8+(p)                 M8-(p)                 E9+(p)                 E9-(p)                 M9+(p)                 M9-(p)
 (MeV)        Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im          Re         Im
  910.0   -5.132610   5.419504    0.068290  -0.037196    0.863790  -0.264098    0.144122  -0.123646   -0.042958  -0.032960   -0.209618   0.429855   -0.072805  -0.112769   -0.376653   0.121921   -0.000270   0.000000    0.053342   0.035379    0.005769   0.000000    0.016538   0.010486   -0.000054   0.000000    0.000404   0.000000    0.000484   0.000000    0.001716   0.000000   -0.000006   0.000000    0.000085   0.000000    0.000091   0.000000    0.000217   0.000000   -0.000001   0.000000    0.000005   0.000000    0.000009   0.000000    0.000029   0.000000    0.000000   0.000000    0.000001   0.000000    0.000002   0.000000    0.000004   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  920.0   -5.087566   4.871804    0.073255  -0.036715    0.901212  -0.260188    0.126915  -0.141694   -0.043897  -0.037887   -0.208858   0.426586   -0.072350  -0.130518   -0.379026   0.094854   -0.000283   0.000000    0.057286   0.042585    0.006176   0.000000    0.017785   0.012783   -0.000058   0.000000    0.000443   0.000000    0.000532   0.000000    0.001885   0.000000   -0.000007   0.000000    0.000095   0.000000    0.000103   0.000000    0.000244   0.000000   -0.000001   0.000000    0.000006   0.000000    0.000010   0.000000    0.000033   0.000000    0.000000   0.000000    0.000001   0.000000    0.000002   0.000000    0.000005   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  930.0   -4.978743   4.356107    0.078213  -0.035970    0.938136  -0.254353    0.107990  -0.162689   -0.044196  -0.043206   -0.208052   0.424049   -0.069457  -0.149706   -0.378468   0.067328   -0.000296   0.000000    0.060746   0.050979    0.006590   0.000000    0.018850   0.015480   -0.000063   0.000000    0.000484   0.000000    0.000582   0.000000    0.002062   0.000000   -0.000008   0.000000    0.000106   0.000000    0.000115   0.000000    0.000273   0.000000   -0.000001   0.000000    0.000007   0.000000    0.000012   0.000000    0.000038   0.000000    0.000000   0.000000    0.000002   0.000000    0.000002   0.000000    0.000005   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  940.0   -4.809553   3.884644    0.083144  -0.034970    0.974433  -0.246650    0.087432  -0.187196   -0.043721  -0.048814   -0.207453   0.422077   -0.063598  -0.169934   -0.374856   0.039724   -0.000309   0.000000    0.063425   0.060630    0.007010   0.000000    0.019625   0.018600   -0.000067   0.000000    0.000525   0.000000    0.000634   0.000000    0.002245   0.000000   -0.000008   0.000000    0.000117   0.000000    0.000128   0.000000    0.000304   0.000000   -0.000002   0.000000    0.000008   0.000000    0.000014   0.000000    0.000043   0.000000    0.000000   0.000000    0.000002   0.000000    0.000003   0.000000    0.000006   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  950.0   -4.588372   3.470381    0.088027  -0.033724    1.009991  -0.237145    0.065413  -0.215890   -0.042353  -0.054562   -0.207254   0.420463   -0.054311  -0.190608   -0.368136   0.012503   -0.000321   0.000000    0.064956   0.071533    0.007436   0.000000    0.019975   0.022138   -0.000072   0.000000    0.000569   0.000000    0.000689   0.000000    0.002436   0.000000   -0.000009   0.000000    0.000129   0.000000    0.000142   0.000000    0.000337   0.000000   -0.000002   0.000000    0.000009   0.000000    0.000015   0.000000    0.000049   0.000000    0.000000   0.000000    0.000002   0.000000    0.000003   0.000000    0.000007   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  960.0   -4.329159   3.124165    0.092845  -0.032243    1.044709  -0.225916    0.042228  -0.249580   -0.040012  -0.060247   -0.207577   0.418976   -0.041287  -0.210945   -0.358363  -0.013828   -0.000332   0.000000    0.064918   0.083573    0.007866   0.000000    0.019746   0.026050   -0.000077   0.000000    0.000613   0.000000    0.000745   0.000000    0.002633   0.000000   -0.000010   0.000000    0.000141   0.000000    0.000156   0.000000    0.000372   0.000000   -0.000002   0.000000    0.000010   0.000000    0.000017   0.000000    0.000055   0.000000    0.000000   0.000000    0.000003   0.000000    0.000003   0.000000    0.000008   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  970.0   -4.050193   2.851655    0.097584  -0.030539    1.078501  -0.213043    0.018366  -0.289209   -0.036679  -0.065636   -0.208474   0.417372   -0.024457  -0.230021   -0.345718  -0.038746   -0.000343   0.000000    0.062874   0.096486    0.008302   0.000000    0.018778   0.030235   -0.000082   0.000000    0.000659   0.000000    0.000803   0.000000    0.002838   0.000000   -0.000011   0.000000    0.000154   0.000000    0.000172   0.000000    0.000409   0.000000   -0.000002   0.000000    0.000011   0.000000    0.000019   0.000000    0.000062   0.000000    0.000000   0.000000    0.000003   0.000000    0.000004   0.000000    0.000010   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000002   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  980.0   -3.771032   2.651408    0.102229  -0.028622    1.111294  -0.198609   -0.005409  -0.335862   -0.032413  -0.070480   -0.209924   0.415421   -0.004054  -0.246870   -0.330518  -0.061764   -0.000354   0.000000    0.058427   0.109829    0.008743   0.000000    0.016927   0.034526   -0.000086   0.000000    0.000707   0.000000    0.000864   0.000000    0.003049   0.000000   -0.000012   0.000000    0.000168   0.000000    0.000188   0.000000    0.000448   0.000000   -0.000002   0.000000    0.000013   0.000000    0.000022   0.000000    0.000069   0.000000    0.000000   0.000000    0.000003   0.000000    0.000005   0.000000    0.000011   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000002   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
  990.0   -3.508848   2.515109    0.106770  -0.026505    1.143026  -0.182698   -0.027936  -0.390727   -0.027355  -0.074553   -0.211846   0.412917    0.019373  -0.260607   -0.313202  -0.082477   -0.000363   0.000000    0.051308   0.122981    0.009187   0.000000    0.014098   0.038692   -0.000091   0.000000    0.000755   0.000000    0.000926   0.000000    0.003266   0.000000   -0.000013   0.000000    0.000182   0.000000    0.000205   0.000000    0.000489   0.000000   -0.000003   0.000000    0.000014   0.000000    0.000024   0.000000    0.000077   0.000000    0.000000   0.000000    0.000004   0.000000    0.000005   0.000000    0.000012   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000002   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
 1000.0   -3.275673   2.429800    0.111197  -0.024198    1.173645  -0.165392   -0.047504  -0.455021   -0.021715  -0.077683   -0.214110   0.409701    0.045000  -0.270554   -0.294300  -0.100599   -0.000373   0.000000    0.041468   0.135195    0.009636   0.000000    0.010272   0.042456   -0.000096   0.000000    0.000805   0.000000    0.000990   0.000000    0.003490   0.000000   -0.000013   0.000000    0.000197   0.000000    0.000223   0.000000    0.000532   0.000000   -0.000003   0.000000    0.000016   0.000000    0.000027   0.000000    0.000085   0.000000    0.000000   0.000000    0.000004   0.000000    0.000006   0.000000    0.000014   0.000000    0.000000   0.000000    0.000000   0.000000    0.000001   0.000000    0.000002   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000    0.000000   0.000000
