E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
 88.090    19.305400     0.059000     0.386118
 84.260    19.183200     0.058600     0.383650
 80.410    18.914500     0.057900     0.378295
 76.510    18.718500     0.057400     0.374325
 72.540    18.239700     0.056400     0.364765
 68.490    17.748800     0.055600     0.354972
 64.320    17.147400     0.054600     0.342981
 60.000    16.503400     0.053600     0.330076
 55.480    15.535400     0.052300     0.310729
 50.700    14.573600     0.051600     0.291468
 45.570    13.433500     0.050700     0.268658
 39.940    12.129900     0.050700     0.242558
 33.560    10.857300     0.052200     0.217113
 25.840     9.420500     0.056200     0.188396
 14.840     7.717500     0.069100     0.154337
-----------------------------------------------------------
E =  283.190 MeV, E_lo =  281.020 MeV, E_hi =  285.360 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160     9.739500     0.052100     0.194752
154.160    11.358600     0.053500     0.227186
146.440    12.709000     0.054700     0.254181
140.060    14.064400     0.056800     0.281323
134.430    15.137600     0.058200     0.302757
129.300    16.273600     0.060100     0.325498
124.520    17.318900     0.061600     0.346365
120.000    18.140600     0.062800     0.362805
115.680    18.768300     0.063700     0.375333
111.510    19.576000     0.065000     0.391541
107.460    20.051500     0.065400     0.401002
103.490    20.634600     0.066300     0.412709
 99.590    20.869000     0.066100     0.417399
 95.740    21.043100     0.066100     0.420841
 91.910    21.069800     0.065700     0.421409
 88.090    20.904600     0.064800     0.418108
 84.260    20.778800     0.064300     0.415555
 80.410    20.505900     0.063500     0.410113
 76.510    20.228600     0.063000     0.404524
 72.540    19.848900     0.062200     0.396956
 68.490    19.362600     0.061400     0.387263
 64.320    18.597000     0.060000     0.371891
 60.000    17.877800     0.059000     0.357565
 55.480    16.958500     0.057800     0.339211
 50.700    16.094100     0.057500     0.321905
 45.570    14.682100     0.056200     0.293671
 39.940    13.269800     0.056100     0.265436
 33.560    11.931400     0.058000     0.238653
 25.840    10.380600     0.062600     0.207566
 14.840     8.260500     0.077100     0.165193
-----------------------------------------------------------
E =  287.530 MeV, E_lo =  285.360 MeV, E_hi =  289.700 MeV
Systematic = 0.020, Preliminary = 0, CBMAMI_2015_Prakhov
165.160    10.241800     0.050200     0.204838
154.160    12.106800     0.052300     0.242116
146.440    13.588500     0.053800     0.271725
